timestamp,best_bid,best_ask
2025-02-06 19:17:58.397649,2.3052,2.3054
2025-02-06 19:17:59.710534,2.3084,2.3085
2025-02-06 19:18:01.023668,2.3097,2.3098
2025-02-06 19:18:02.336562,2.3117,2.3118
2025-02-06 19:18:03.648952,2.3118,2.3119
2025-02-06 19:18:05.413264,2.3114,2.3115
2025-02-06 19:18:06.726150,2.3128,2.3129
2025-02-06 19:18:08.039145,2.3129,2.313
2025-02-06 19:18:09.362694,2.3139,2.314
2025-02-06 19:18:10.674720,2.3134,2.3135
2025-02-06 19:18:11.987670,2.3146,2.3147
2025-02-06 19:18:13.301355,2.3157,2.3158
2025-02-06 19:18:14.613173,2.3141,2.3142
2025-02-06 19:18:15.941439,2.3138,2.3139
2025-02-06 19:18:17.253207,2.3127,2.3128
2025-02-06 19:18:18.566773,2.312,2.3121
2025-02-06 19:18:19.878881,2.3112,2.3113
2025-02-06 19:18:21.194211,2.3109,2.311
2025-02-06 19:18:22.513542,2.3112,2.3113
2025-02-06 19:18:23.827329,2.311,2.3111
2025-02-06 19:18:25.138892,2.3106,2.3107
2025-02-06 19:18:26.451041,2.311,2.3111
2025-02-06 19:18:27.767249,2.3103,2.3104
2025-02-06 19:18:29.079427,2.3109,2.311
2025-02-06 19:18:30.396094,2.3107,2.3108
2025-02-06 19:18:31.710032,2.3119,2.312
2025-02-06 19:18:33.023779,2.3114,2.3115
2025-02-06 19:18:34.345133,2.3114,2.3115
2025-02-06 19:18:35.658293,2.3116,2.3117
2025-02-06 19:18:36.971342,2.3131,2.3132
2025-02-06 19:18:38.285752,2.3118,2.3119
2025-02-06 19:18:39.606078,2.3118,2.3119
2025-02-06 19:18:40.921593,2.3124,2.3125
2025-02-06 19:18:42.234861,2.3121,2.3122
2025-02-06 19:18:43.569124,2.3123,2.3124
2025-02-06 19:18:45.069043,2.3116,2.3117
2025-02-06 19:18:46.383415,2.311,2.3111
2025-02-06 19:18:47.700246,2.3114,2.3115
2025-02-06 19:18:49.012380,2.3109,2.311
2025-02-06 19:18:50.335817,2.3119,2.312
2025-02-06 19:18:51.650455,2.312,2.3121
2025-02-06 19:18:52.963309,2.3114,2.3115
2025-02-06 19:18:54.275214,2.3116,2.3117
2025-02-06 19:18:55.585301,2.3116,2.3117
2025-02-06 19:18:56.897727,2.3114,2.3115
2025-02-06 19:18:58.211417,2.3108,2.3109
2025-02-06 19:18:59.523887,2.3096,2.3097
2025-02-06 19:19:01.287128,2.3097,2.3098
2025-02-06 19:19:02.598451,2.31,2.3101
2025-02-06 19:19:03.914534,2.309,2.3091
2025-02-06 19:19:05.235641,2.3091,2.3092
2025-02-06 19:19:06.561147,2.3074,2.3075
2025-02-06 19:19:07.878603,2.3059,2.306
2025-02-06 19:19:09.196285,2.3059,2.306
2025-02-06 19:19:10.535662,2.3047,2.3048
2025-02-06 19:19:11.847247,2.3031,2.3032
2025-02-06 19:19:13.158911,2.3023,2.3024
2025-02-06 19:19:14.469738,2.3024,2.3025
2025-02-06 19:19:15.781904,2.3018,2.3019
2025-02-06 19:19:17.093404,2.3025,2.3026
2025-02-06 19:19:18.403392,2.3012,2.3013
2025-02-06 19:19:19.717106,2.3016,2.3017
2025-02-06 19:19:21.029198,2.3004,2.3005
2025-02-06 19:19:22.341536,2.3002,2.3003
2025-02-06 19:19:23.633925,2.2979,2.298
2025-02-06 19:19:24.915978,2.2987,2.2988
2025-02-06 19:19:26.201183,2.2987,2.2988
2025-02-06 19:19:27.485749,2.2981,2.2982
2025-02-06 19:19:28.770383,2.2982,2.2983
2025-02-06 19:19:30.053420,2.2985,2.2986
2025-02-06 19:19:31.338482,2.2986,2.2987
2025-02-06 19:19:32.627233,2.2999,2.3
2025-02-06 19:19:33.913284,2.2995,2.2996
2025-02-06 19:19:35.200092,2.2987,2.2988
2025-02-06 19:19:36.486155,2.2992,2.2993
